PREGUNTA,A,B,C,D,E,F,RESPUESTA_CORRECTA
"Which statement best describes Snowflake tables?","A. Snowflake tables are logical representations of underlying physical data  ","B. Snowflake tables are the physical instantiation of data loaded into Snowflake","C. Snowflake tables require that clustering keys be defined to perform optimally","D. Snowflake tables are owned by a user","","","A"
"Which item in the Data Warehouse migration process does not apply in Snowflake?","A. Migrate Users","B. Migrate Schemas","C. Migrate Indexes  ","D. Build the Data Pipeline","","","C"
"Snowflake provides two mechanisms to reduce data storage costs for short-lived tables. These mechanisms are: (Choose two.)","A. Temporary Tables  ","B. Transient Tables  ","C. Provisional Tables","D. Permanent Tables","","","A,B"
"What is the maximum compressed row size in Snowflake?","A. 8KB","B. 16MB  ","C. 50MB","D. 4000GB","","","B"
"Which of the following are main sections of the top navigation of the Snowflake Web Interface (UI)? (Choose three.)","A. Databases  ","B. Tables","C. Warehouses  ","D. Worksheets  ","","","A,C,D"
"What is the recommended Snowflake data type to store semi-structured data like JSON?","A. VARCHAR","B. RAW","C. LOB","D. VARIANT  ","","","D"
"Which of the following statements are true of Snowflake releases: (Choose two.)","A. They happen approximately weekly","B. They roll up and release approximately monthly, but customers can request early release application","C. During a release, new customer requests/queries/connections transparently move over to the newer version  ","D. A customer is assigned a 30 minute window (that can be moved anytime within a week) during which the system will be unavailable and customer is upgraded","","","A,C"
"Which of the following are common use cases for zero-copy cloning? (Choose three.)","A. Quick provisioning of Dev and Test/QA environments  ","B. Data backups  ","C. Point in time snapshots  ","D. Performance optimization","","","A,B,C"
"If a Small Warehouse is made up of 2 servers/cluster, how many servers/cluster make up a Medium Warehouse?","A. 4","B. 16","C. 32","D. 128","","","A"
"True or False: When a data share is established between a Data Provider and a Data Consumer, the Data Consumer can extend that data share to other DataConsumers.","A. True","B. False","","","","","B"
"Which is true of Snowflake network policies? A Snowflake network policy: (Choose two.)","A. Is available to all Snowflake Editions  ","B. Is only available to customers with Business Critical Edition","C. Restricts or enables access to specific IP addresses  ","D. Is activated using an ג€ALTER DATABASEג€ command","","","A,C"
"True or False: Snowflake charges additional fees to Data Providers for each Share they create.","A. True","B. False  ","","","","","B"
"Query results are stored in the Result Cache for how long after they are last accessed, assuming no data changes have occurred?","A. 1 Hour","B. 3 Hours","C. 12 hours","D. 24 hours  ","","","D"
"A role is created and owns 2 tables. This role is then dropped. Who will now own the two tables?","A. The tables are now orphaned","B. The user that deleted the role","C. SYSADMIN","D. The assumed role that dropped the role  ","","","D"
"Which of the following connectors are available in the Downloads section of the Snowflake Web Interface (UI)? (Choose two.)","A. SnowSQL  ","B. ODBC  ","C. R","D. HIVE","","","A,B"
"Which of the following DML commands isn't supported by Snowflake?","A. UPSERT  ","B. MERGE","C. UPDATE","D. TRUNCATE TABLE","","","A"
"Which of the following statements is true of zero-copy cloning?","A. Zero-copy clones increase storage costs as cloning the table requires storing its data twice","B. All zero-copy clone objects inherit the privileges of their original objects","C. Zero-copy cloning is licensed as an additional Snowflake feature","D. At the instance/instant a clone is created, all micro-partitions in the original table and the clone are fully shared  ","","","D"
"True or False: When a user creates a role, they are initially assigned ownership of the role and they maintain ownership until it is transferred to another user.","A. True","B. False","","","","","A"
"The Query History in the Snowflake Web Interface (UI) is kept for approximately:","A. 60 minutes","B. 24 hours","C. 14 days","D. 30 days","E. 1 year","","C"
"To run a Multi-Cluster Warehouse in auto-scale mode, a user would:","A. Configure the Maximum Clusters setting to ג€Auto-Scaleג€","B. Set the Warehouse type to Auto","C. Set the Minimum Clusters and Maximum Clusters settings to the same value","D. Set the Minimum Clusters and Maximum Clusters settings to the different values","","","D"
"Which of the following terms best describes Snowflake's database architecture?","A. Columnar shared nothing","B. Shared disk","C. Multi-cluster, shared data  ","D. Cloud-native shared memory","","","C"
"Which of the following are options when creating a Virtual Warehouse? (Choose two.)","A. Auto-drop","B. Auto-resize","C. Auto-resume  ","D. Auto-suspend  ","","","C,D"
"A Virtual Warehouse's auto-suspend and auto-resume settings apply to:","A. The primary cluster in the Virtual Warehouse","B. The entire Virtual Warehouse  ","C. The database the Virtual Warehouse resides in","D. The queries currently being run by the Virtual Warehouse","","","B"
"Fail-safe is unavailable on which table types? (Choose two.)","A. Temporary  ","B. Transient  ","C. Provisional","D. Permanent","","","A,B"
"Which of the following objects is not covered by Time Travel?","A. Tables","B. Schemas","C. Databases","D. Stages  ","","","D"
"True or False: Micro-partition metadata enables some operations to be completed without requiring Compute.","A. True","B. False","","","","","A"
"Which of the following commands are not blocking operations? (Choose two.)","A. UPDATE","B. INSERT","C. MERGE","D. COPY","","","B,D"
"Which of the following is true of Snowpipe via REST API? (Choose two.)","A. You can only use it on Internal Stages","B. All COPY INTO options are available during pipe creation","C. Snowflake automatically manages the compute required to execute the Pipe's COPY INTO commands  ","D. Snowpipe keeps track of which files it has loaded  ","","","C,D"
"Snowflake recommends, as a minimum, that all users with the following role(s) should be enrolled in Multi-Factor Authentication (MFA):","A. SECURITYADMIN, ACCOUNTADMIN, PUBLIC, SYSADMIN","B. SECURITYADMIN, ACCOUNTADMIN, SYSADMIN","C. SECURITYADMIN, ACCOUNTADMIN","D. ACCOUNTADMIN  ","","","D"
"When can a Virtual Warehouse start running queries?","A. 12am-5am","B. Only during administrator defined time slots","C. When its provisioning is complete  ","D. After replication","","","C"
"True or False: Users are able to see the result sets of queries executed by other users that share their same role.","A. True","B. False  ","","","","","B"
"True or False: The user has to specify which cluster a query will run on in a multi-cluster Warehouse.","A. True","B. False  ","","","","","B"
"True or False: Pipes can be suspended and resumed.","A. True  ","B. False","","","","","A"
"Which of the following languages can be used to implement Snowflake User Defined Functions (UDFs)? (Choose two.) TODAS SON CORRECTAS PERO SOLO HAY QUE ELEGIR 2.","A. Java","B. Javascript","C. SQL","D. Python","","","B,C"
"When should you consider disabling auto-suspend for a Virtual Warehouse? (Choose two.)","A. When users will be using compute at different times throughout a 24/7 period","B. When managing a steady workload  ","C. When the compute must be available with no delay or lag time  ","D. When you do not want to have to manually turn on the Warehouse each time a user needs it","","","B,C"
"Which of the following are valid approaches to loading data into a Snowflake table? (Choose all that apply.)","A. Bulk copy from an External Stage    ","B. Continuous load using Snowpipe REST API    ","C. The Snowflake Web Interface (UI) data loading wizard  ","D. Bulk copy from an Internal Stage  ","","","A,B,D"
"If auto-suspend is enabled for a Virtual Warehouse, the Warehouse is automatically suspended when:","A. All Snowflakes sessions using the Warehouse are terminated.","B. The last query using the Warehouse completes.","C. There are no users logged into Snowflake.","D. The Warehouse is inactive for a specified period of time.  ","","","D"
"True or False: Multi-Factor Authentication (MFA) in Snowflake is only supported in conjunction with Single Sign-On (SSO).","A. True","B. False  ","","","","","B"
"The number of queries that a Virtual Warehouse can concurrently process is determined by (Choose two.):","A. The complexity of each query  ","B. The CONCURRENT_QUERY_LIMIT parameter set on the Snowflake account","C. The size of the data required for each query  ","D. The tool that is executing the query","","","A,C"
"Which of the following statements are true of VALIDATION_MODE in Snowflake? (Choose two.)","A. The VALIDATION_MODE option is used when creating an Internal Stage","B. VALIDATION_MODE=RETURN_ALL_ERRORS is a parameter of the COPY command  ","C. The VALIDATION_MODE option will validate data to be loaded by the COPY statement while completing the load and will return the rows that could not be loaded without error","D. The VALIDATION_MODE option will validate data to be loaded by the COPY statement without completing the load and will return possible errors  ","","","B,D"
"What privileges are required to create a task?","A. The GLOBAL privilege CREATE TASK is required to create a new task.","B. Tasks are created at the Application level and can only be created by the Account Admin role.","C. Many Snowflake DDLs are metadata operations only, and CREATE TASK DDL can be executed without virtual warehouse requirement or task specific grants.","D. The role must have access to the target schema and the CREATE TASK privilege on the schema itself.  ","","","D"
"What are the three things customer want most from their enterprise data warehouse solution? (Choose three.)","A. On-premise availability","B. Simplicity  ","C. Open source based","D. Concurrency  ","E. Performance  ","","B,D,E"
"True or False: Some queries can be answered through the metadata cache and do not require an active Virtual Warehouse.","A. True  ","B. False","","","","","A"
"When scaling out by adding clusters to a multi-cluster warehouse, you are primarily scaling for improved:","A. Concurrency","B. Performance","","","","","A"
"What is the minimum Snowflake edition that provides data sharing?","A. Standard","B. Premier","C. Enterprise","D. Business Critical Edition","","","A"
"True or False: Each worksheet in the Snowflake Web Interface (UI) can be associated with different roles, databases, schemas, and Virtual Warehouses.","A. True  ","B. False","","","","","A"
"True or False: You can query the files in an External Stage directly without having to load the data into a table.","A. True  ","B. False","","","","","A"
"The FLATTEN function is used to query which type of data in Snowflake?","A. Structured data","B. Semi-structured data  ","C. Both of the above","D. None of the above","","","C"
"True or False: An active warehouse is required to run a COPY INTO statement.","A. True  ","B. False","","","","","A"
"True or False: AWS Private Link provides a secure connection from the Customer's on-premise data center to the Snowflake.","A. True","B. False  ","","","","","B"
"True or False: Snowflake's Global Services Layer gathers and maintains statistics on all columns in all micro-partitions.","A. True  ","B. False","","","","","B"
"True or False: It is best practice to define a clustering key on every table.","A. True","B. False","","","","","B"
"Which of the following statements is true of Snowflake?","A. It was built specifically for the cloud","B. It was built as an on-premises solution and then ported to the cloud","C. It was designed as a hybrid database to allow customers to store data either on premises or in the cloud","D. It was built for Hadoop architecture","E. It's based on an Oracle Architecture","","A"
"What is the minimum Snowflake edition that provides multi-cluster warehouses and up to 90 days of Time Travel?","A. Standard","B. Premier","C. Enterprise","D. Business Critical Edition","","","C"
"How many shares can be consumed by a single Data Consumer?","A. 1","B. 10","C. 100, but can be increased by contacting support","D. Unlimited","","","D"
"What is the lowest Snowflake edition that offers Time Travel up to 90 days?","A. Standard Edition","B. Premier Edition","C. Enterprise Edition","D. Business Critical Edition","","","C"
"Which of the following statements are true about Schemas in Snowflake? (Choose two.)","A. A Schema may contain one or more Databases","B. A Database may contain one or more Schemas  ","C. A Schema is a logical grouping of Database Objects  ","D. Each Schema is contained within a Warehouse","","","B,C"
"True or False: You can resize a Virtual Warehouse while queries are running.","A. True  ","B. False","","","","","A"
"What is the most granular object that the Time Travel retention period can be defined on?","A. Account","B. Database","C. Schema","D. Table  ","","","D"
"Which of the following statements is true of Snowflake micro-partitioning?","A. Micro-partitioning has been known to introduce data skew","B. Micro-partitioning: requires a partitioning schema to be defined up front","C. Micro-partitioning is transparently completed using the ordering that occurs when the data is inserted/loaded  ","D. Micro-partitioning can be disabled within a Snowflake account","","","C"
"True or False: Snowflake bills for a minimum of five minutes each time a Virtual Warehouse is started.","A. True","B. False  ","","","","","B"
"When scaling up Virtual Warehouses by increasing Virtual Warehouse t-shirt size, you are primarily scaling for improved:","A. Concurrency","B. Performance  ","","","","","B"
"As a best practice, clustering keys should only be defined on tables of which minimum size?","A. Multi-Kilobyte (KB) Range","B. Multi-Megabyte (MB) Range","C. Multi-Gigabyte (GB) Range","D. Multi-Terabyte (TB) Range  ","","","D"
"How a Snowpipe charges calculated?","A. Per-second/per Warehouse size","B. Per-second/per-core granularity  ","C. Number of Pipes in account","D. Total storage bucket size","","","B"
"True or False: A Snowflake account is charged for data stored in both Internal and External Stages.","A. True","B. False  ","","","","","B"
"True or False: When active, a Pipe requires a dedicated Virtual Warehouse to execute.","A. True","B. False  ","","","","","B"
"True or False: Snowflake supports federated authentication in all editions.","A. True  ","B. False","","","","","A"
"True or False: When a new Snowflake object is created, it is automatically owned by the user who created it.","A. True","B. False  ","","","","","B"
"True or False: A Virtual Warehouse consumes Snowflake credits even when inactive.","A. True  ","B. False  ","","","","","B"
"True or False: During data unloading, only JSON and CSV files can be compressed.","A. True","B. False  ","","","","","B"
"Which of the following are options when creating a Virtual Warehouse? (Choose two.)","A. Auto-suspend","B. Auto-resume","C. Local SSD size","D. User count","","","A,B"
"Which formats are supported for unloading data from Snowflake? (Choose two.)","A. Delimited (CSV, TSV, etc.)  ","B. Avro","C. JSON  ","D. ORC","","","A,C"
"True or False: Data Providers can share data with only the Data Consumer.","A. True","B. False  ","","","","","A"
"The fail-safe retention period is how many days?","A. 1 day","B. 7 days  ","C. 45 days","D. 90 days","","","B"
"True or False: Once created, a micro-partition will never be changed.","A. True  ","B. False","","","","","A"
"What services does Snowflake automatically provide for customers that they may have been responsible for with their on-premise system? (Choose all that apply.)","A. Installing and configuring hardware  ","B. Patching software    ","C. Physical security","D. Maintaining metadata and statistics    ","","","A,B,C,D"
"Which of the following statements would be used to export/unload data from Snowflake?","A. COPY INTO @stage","B. EXPORT TO @stage","C. INSERT INTO @stage","D. EXPORT_TO_STAGE(stage => @stage, select => 'select * from t1');","","","A"
"True or False: A 4X-Large Warehouse may, at times, take longer to provision than a X-Small Warehouse.","A. True  ","B. False","","","","","A"
"How would you determine the size of the virtual warehouse used for a task?","A. Root task may be executed concurrently (i.e. multiple instances), it is recommended to leave some margins in the execution window to avoid missing instances of execution","B. Querying (SELECT) the size of the stream content would help determine the warehouse size. For example, if querying large stream content, use a larger warehouse size","C. If using the stored procedure to execute multiple SQL statements, it's best to test run the stored procedure separately to size the compute resource first  ","D. Since task infrastructure is based on running the task body on schedule, it's recommended to configure the virtual warehouse for automatic concurrency handling using Multi-cluster warehouse (MCW) to match the task schedule","","","C"
"The Information Schema and Account Usage Share provide storage information for which of the following objects? (Choose three.)","A. Users","B. Tables  ","C. Databases  ","D. Internal Stages  ","","","A,B,C"
"What is the default File Format used in the COPY command if one is not specified?","A. CSV","B. JSON","C. Parquet","D. XML","","","A"
"True or False: Reader Accounts are able to extract data from shared data objects for use outside of Snowflake.","A. True  ","B. False  ","","","","","A"
"True or False: You can define multiple columns within a clustering key on a table.","A. True  ","B. False","","","","","A"
"True or False: Snowflake enforces unique, primary key, and foreign key constraints during DML operations.","A. True","B. False  ","","","","","B"
"True or False: Loading data into Snowflake requires that source data files be no larger than 16MB.","A. True","B. False  ","","","","","B"
"True or False: A Virtual Warehouse can be resized while suspended.","A. True  ","B. False","","","","","A"
"True or False: When you create a custom role, it is a best practice to immediately grant that role to ACCOUNTADMIN.","A. True","B. False  ","","","","","B"
"Which of the following accurately represents how a table fits into Snowflake's logical container hierarchy?","A. Account -> Schema -> Database -> Table","B. Account -> Database -> Schema -> Table","C. Database -> Schema -> Table -> Account","D. Database -> Table -> Schema -> Account","","","B"
"True or False: All Snowflake table types include fail-safe storage.","A. True","B. False  ","","","","","B"
"What are two ways to create and manage Data Shares in Snowflake? (Choose two.)","A. Via the Snowflake Web Interface (UI)  ","B. Via the DATA_SHARE=TRUE parameter","C. Via SQL commands  ","D. Via Virtual Warehouses","","","A,C"
"True or False: Fail-safe can be disabled within a Snowflake account.","A. True","B. False  ","","","","","B"
"True or False: It is possible for a user to run a query against the query result cache without requiring an active Warehouse.","A. True","B. False","","","","","A"
"True or False: When Snowflake is configured to use Single Sign-On (SSO), Snowflake receives the usernames and credentials from the SSO service and loads them into the customer's Snowflake account.","A. True","B. False  ","","","","","B"
"Which of the following are best practices for loading data into Snowflake? (Choose three.)","A. Aim to produce data files that are between 100 MB and 250 MB in size, compressed.  ","B. Load data from files in a cloud storage service in a different region or cloud platform from the service or region containing the Snowflake account, to save on cost.","C. Enclose fields that contain delimiter characters in single or double quotes.  ","D. Split large files into a greater number of smaller files to distribute the load among the compute resources in an active warehouse.  ","E. When planning which warehouse(s) to use for data loading, start with the largest warehouse possible.","F. Partition the staged data into large folders with random paths, allowing Snowflake to determine the best way to load each file.","A,C,D"
"Which Snowflake feature is used for both querying and restoring data?","A. Cluster keys","B. Time Travel  ","C. Fail-safe","D. Cloning","","","B"
"What do the terms scale up and scale out refer to in Snowflake? (Choose two.)","A. Scaling out adds clusters of the same size to a virtual warehouse to handle more concurrent queries.  ","B. Scaling out adds clusters of varying sizes to a virtual warehouse.","C. Scaling out adds additional database servers to an existing running cluster to handle more concurrent queries.","D. Snowflake recommends using both scaling up and scaling out to handle more concurrent queries.","E. Scaling up resizes a virtual warehouse so it can handle more complex workloads.  ","F. Scaling up adds additional database servers to an existing running cluster to handle larger workloads.","A,E"
"What is the minimum Snowflake edition that has column-level security enabled?","A. Standard","B. Enterprise","C. Business Critical","D. Virtual Private Snowflake","","","B"
"What parameter controls if the Virtual Warehouse starts immediately after the CREATE WAREHOUSE statement?","A. INITIALLY_SUSPENDED = TRUE/FALSE  ","B. START_AFTER_CREATE = TRUE/FALSE","C. START_THE = 60 // (seconds from now)","D. START_TIME = CURRENT_DATE()","","","A"
"When cloning a database, what is cloned with the database? (Choose two.)","A. Privileges on the database","B. Existing child objects within the database  ","C. Future child objects within the database","D. Privileges on the schemas within the database  ","E. Only schemas and tables within the database","","B,D"
"Which of the following describes the Snowflake Cloud Services layer?","A. Coordinates activities in the Snowflake account  ","B. Executes queries submitted by the Snowflake account users","C. Manages quotas on the Snowflake account storage","D. Manages the virtual warehouse cache to speed up queries","","","A"
"What is the maximum total Continuous Data Protection (CDP) charges incurred for a temporary table?","A. 30 days","B. 7 days","C. 48 hours","D. 24 hours  ","","","D"
"When reviewing a query profile, what is a symptom that a query is too large to fit into the memory?","A. A single join node uses more than 50% of the query time","B. Partitions scanned is equal to partitions total","C. An AggregateOperator node is present","D. The query is spilling to remote storage  ","","","D"
"What type of query benefits the MOST from search optimization?","A. A query that uses only disjunction (i.e., OR) predicates","B. A query that includes analytical expressions","C. A query that uses equality predicates or predicates that use IN","D. A query that filters on semi-structured data types","","","C"
"What transformations are supported in a CREATE PIPE ... AS COPY `¦ FROM (`¦) statement? (Choose two.)","A. Data can be filtered by an optional WHERE clause.","B. Incoming data can be joined with other tables.","C. Columns can be reordered.  ","D. Columns can be omitted.  ","E. Row level access can be defined.","","C,D"
"Which of the following are characteristics of Snowflake virtual warehouses? (Choose two.)","A. Auto-resume applies only to the last warehouse that was started in a multi-cluster warehouse.","B. The ability to auto-suspend a warehouse is only available in the Enterprise edition or above.","C. SnowSQL supports both a configuration file and a command line option for specifying a default warehouse.  ","D. A user cannot specify a default warehouse when using the ODBC driver.","E. The default virtual warehouse size can be changed at any time.","","C,E"
"Which command should be used to load data from a file, located in an external stage, into a table in Snowflake?","A. INSERT","B. PUT","C. GET","D. COPY","","","D"
"The Snowflake Cloud Data Platform is described as having which of the following architectures?","A. Shared-disk","B. Shared-nothing","C. Multi-cluster shared data  ","D. Serverless query engine","","","C"
"Which of the following is a data tokenization integration partner?","A. Protegrity  ","B. Tableau","C. DBeaver","D. SAP","","","A"
"What versions of Snowflake should be used to manage compliance with Personal Identifiable Information (PII) requirements? (Choose two.)","A. Custom Edition","B. Virtual Private Snowflake  ","C. Business Critical Edition  ","D. Standard Edition","E. Enterprise Edition","","B,C"
"What are supported file formats for unloading data from Snowflake? (Choose three.)","A. XML","B. JSON  ","C. Parquet  ","D. ORC","E. AVRO","F. CSV  ","B,C,F"
"The Snowflake cloud services layer is responsible for which tasks? (Choose two.)","A. Local disk caching","B. Authentication and access control  ","C. Metadata management  ","D. Query processing","E. Database storage","","B,C"
"What is a key feature of Snowflake architecture?","A. Zero-copy cloning creates a mirror copy of a database that updates with the original.","B. Software updates are automatically applied on a quarterly basis.","C. Snowflake eliminates resource contention with its virtual warehouse implementation.  ","D. Multi-cluster warehouses allow users to run a query that spans across multiple clusters.","E. Snowflake automatically sorts DATE columns during ingest, for fast retrieval by date.","","C"
"When publishing a Snowflake Data Marketplace listing into a remote region what should be taken into consideration? (Choose two.)","A. There is no need to have a Snowflake account in the target region, a share will be created for each user.","B. The listing is replicated into all selected regions automatically, the data is not.  ","C. The user must have the ORGADMIN role available in at least one account to link accounts for replication.","D. Shares attached to listings in remote regions can be viewed from any account in an organization.","E. For a standard listing the user can wait until the first customer requests the data before replicating it to the target region.  ","","B,E"
"When loading data into Snowflake via Snowpipe what is the compressed file size recommendation?","A. 10-50 MB","B. 100-250 MB","C. 300-500 MB","D. 1000-1500 MB","","","B"
"Which Snowflake feature allows a user to substitute a randomly generated identifier for sensitive data, in order to prevent unauthorized users access to the data, before loading it into Snowflake?","A. External Tokenization","B. External Tables","C. Materialized Views","D. User-Defined Table Functions (UDTF)","","","A"
"Which of the following are examples of operations that require a Virtual Warehouse to complete, assuming no queries have been executed previously? (Choose three.)","A. MIN(<< column value >>)","B. COPY","C. SUM(<< column value >>)","D. UPDATE","","","B,C,D"
"What is the SNOWFLAKE.ACCOUNT_USAGE view that contains information about which objects were read by queries within the last 365 days (1 year)?","A. VIEWS_HISTORY","B. OBJECT_HISTORY","C. ACCESS_HISTORY  ","D. LOGIN_HISTORY","","","C"
"Which feature is only available in the Enterprise or higher editions of Snowflake?","A. Column-level security","B. SOC 2 type II certification","C. Multi-factor Authentication (MFA)","D. Object-level access control","","","A"
"Will data cached in a warehouse be lost when the warehouse is resized?","A. Possibly, if the warehouse is resized to a smaller size and the cache no longer fits.  ","B. Yes, because the compute resource is replaced in its entirety with a new compute resource.","C. No, because the size of the cache is independent from the warehouse size.","D. Yes, because the new compute resource will no longer have access to the cache encryption key.","","","B"
"Which semi-structured file formats are supported when unloading data from a table? (Choose two.)","A. ORC","B. XML","C. Avro","D. Parquet  ","E. JSON  ","","D,E"
"A running virtual warehouse is suspended.What is the MINIMUM amount of time that the warehouse will incur charges for when it is restarted?","A. 1 second","B. 60 seconds","C. 5 minutes","D. 60 minutes","","","B"
