PREGUNTA,A,B,C,D,E,F,RESPUESTA_CORRECTA
"Which of the following statements are true of Snowflake releases: (Choose two.)","A. They happen approximately weekly","B. They roll up and release approximately monthly, but customers can request early release application","C. During a release, new customer requests/queries/connections transparently move over to the newer version Most Voted","D. A customer is assigned a 30 minute window (that can be moved anytime within a week) during which the system will be unavailable and customer is upgraded","","","A,C"
"Which of the following are common use cases for zero-copy cloning? (Choose three.)","A. Quick provisioning of Dev and Test/QA environments Most Voted","B. Data backups Most Voted","C. Point in time snapshots Most Voted","D. Performance optimization","","","A,B,C"
"If a Small Warehouse is made up of 2 servers/cluster, how many servers/cluster make up a Medium Warehouse?","A. 4","B. 16","C. 32","D. 128","","","A"
"True or False: When a data share is established between a Data Provider and a Data Consumer, the Data Consumer can extend that data share to other DataConsumers.","A. True","B. False","","","","","B"
"Which is true of Snowflake network policies? A Snowflake network policy: (Choose two.)","A. Is available to all Snowflake Editions Most Voted","B. Is only available to customers with Business Critical Edition","C. Restricts or enables access to specific IP addresses Most Voted","D. Is activated using an ג€ALTER DATABASEג€ command","","","A,C"
"True or False: Snowflake charges additional fees to Data Providers for each Share they create.","A. True","B. False Most Voted","","","","","B"
"Query results are stored in the Result Cache for how long after they are last accessed, assuming no data changes have occurred?","A. 1 Hour","B. 3 Hours","C. 12 hours","D. 24 hours Most Voted","","","D"
"A role is created and owns 2 tables. This role is then dropped. Who will now own the two tables?","A. The tables are now orphaned","B. The user that deleted the role","C. SYSADMIN","D. The assumed role that dropped the role Most Voted","","","D"
"Which of the following connectors are available in the Downloads section of the Snowflake Web Interface (UI)? (Choose two.)","A. SnowSQL Most Voted","B. ODBC Most Voted","C. R","D. HIVE","","","A,B"
"Which of the following DML commands isn't supported by Snowflake?","A. UPSERT Most Voted","B. MERGE","C. UPDATE","D. TRUNCATE TABLE","","","A"
"Which of the following statements is true of zero-copy cloning?","A. Zero-copy clones increase storage costs as cloning the table requires storing its data twice","B. All zero-copy clone objects inherit the privileges of their original objects","C. Zero-copy cloning is licensed as an additional Snowflake feature","D. At the instance/instant a clone is created, all micro-partitions in the original table and the clone are fully shared Most Voted","","","D"
"True or False: When a user creates a role, they are initially assigned ownership of the role and they maintain ownership until it is transferred to another user.","A. True","B. False","","","","","A"
"The Query History in the Snowflake Web Interface (UI) is kept for approximately:","A. 60 minutes","B. 24 hours","C. 14 days","D. 30 days","E. 1 year","","C"
"To run a Multi-Cluster Warehouse in auto-scale mode, a user would:","A. Configure the Maximum Clusters setting to ג€Auto-Scaleג€","B. Set the Warehouse type to Auto","C. Set the Minimum Clusters and Maximum Clusters settings to the same value","D. Set the Minimum Clusters and Maximum Clusters settings to the different values","","","D"
"Which of the following terms best describes Snowflake's database architecture?","A. Columnar shared nothing","B. Shared disk","C. Multi-cluster, shared data Most Voted","D. Cloud-native shared memory","","","C"
"Which of the following are options when creating a Virtual Warehouse? (Choose two.)","A. Auto-drop","B. Auto-resize","C. Auto-resume Most Voted","D. Auto-suspend Most Voted","","","C,D"
"A Virtual Warehouse's auto-suspend and auto-resume settings apply to:","A. The primary cluster in the Virtual Warehouse","B. The entire Virtual Warehouse Most Voted","C. The database the Virtual Warehouse resides in","D. The queries currently being run by the Virtual Warehouse","","","B"
"Fail-safe is unavailable on which table types? (Choose two.)","A. Temporary Most Voted","B. Transient Most Voted","C. Provisional","D. Permanent","","","A,B"
"Which of the following objects is not covered by Time Travel?","A. Tables","B. Schemas","C. Databases","D. Stages Most Voted","","","D"
"True or False: Micro-partition metadata enables some operations to be completed without requiring Compute.","A. True","B. False","","","","","A"
"Which of the following commands are not blocking operations? (Choose two.)","A. UPDATE","B. INSERT","C. MERGE","D. COPY","","","B,D"
"Which of the following is true of Snowpipe via REST API? (Choose two.)","A. You can only use it on Internal Stages","B. All COPY INTO options are available during pipe creation","C. Snowflake automatically manages the compute required to execute the Pipe's COPY INTO commands Most Voted","D. Snowpipe keeps track of which files it has loaded Most Voted","","","C,D"
"Snowflake recommends, as a minimum, that all users with the following role(s) should be enrolled in Multi-Factor Authentication (MFA):","A. SECURITYADMIN, ACCOUNTADMIN, PUBLIC, SYSADMIN","B. SECURITYADMIN, ACCOUNTADMIN, SYSADMIN","C. SECURITYADMIN, ACCOUNTADMIN","D. ACCOUNTADMIN Most Voted","","","D"
"When can a Virtual Warehouse start running queries?","A. 12am-5am","B. Only during administrator defined time slots","C. When its provisioning is complete Most Voted","D. After replication","","","C"
"True or False: Users are able to see the result sets of queries executed by other users that share their same role.","A. True","B. False Most Voted","","","","","B"
"True or False: The user has to specify which cluster a query will run on in a multi-cluster Warehouse.","A. True","B. False Most Voted","","","","","B"
"True or False: Pipes can be suspended and resumed.","A. True Most Voted","B. False","","","","","A"
"Which of the following languages can be used to implement Snowflake User Defined Functions (UDFs)? (Choose two.) TODAS SON CORRECTAS PERO SOLO HAY QUE ELEGIR 2.","A. Java","B. Javascript","C. SQL","D. Python","","","B,C"
"When should you consider disabling auto-suspend for a Virtual Warehouse? (Choose two.)","A. When users will be using compute at different times throughout a 24/7 period","B. When managing a steady workload Most Voted","C. When the compute must be available with no delay or lag time Most Voted","D. When you do not want to have to manually turn on the Warehouse each time a user needs it","","","B,C"
"Which of the following are valid approaches to loading data into a Snowflake table? (Choose all that apply.)","A. Bulk copy from an External Stage Most Voted Most Voted","B. Continuous load using Snowpipe REST API Most Voted Most Voted","C. The Snowflake Web Interface (UI) data loading wizard Most Voted","D. Bulk copy from an Internal Stage Most Voted","","","A,B,D"
"If auto-suspend is enabled for a Virtual Warehouse, the Warehouse is automatically suspended when:","A. All Snowflakes sessions using the Warehouse are terminated.","B. The last query using the Warehouse completes.","C. There are no users logged into Snowflake.","D. The Warehouse is inactive for a specified period of time. Most Voted","","","D"
"True or False: Multi-Factor Authentication (MFA) in Snowflake is only supported in conjunction with Single Sign-On (SSO).","A. True","B. False Most Voted","","","","","B"
"The number of queries that a Virtual Warehouse can concurrently process is determined by (Choose two.):","A. The complexity of each query Most Voted","B. The CONCURRENT_QUERY_LIMIT parameter set on the Snowflake account","C. The size of the data required for each query Most Voted","D. The tool that is executing the query","","","A,C"
"Which of the following statements are true of VALIDATION_MODE in Snowflake? (Choose two.)","A. The VALIDATION_MODE option is used when creating an Internal Stage","B. VALIDATION_MODE=RETURN_ALL_ERRORS is a parameter of the COPY command Most Voted","C. The VALIDATION_MODE option will validate data to be loaded by the COPY statement while completing the load and will return the rows that could not be loaded without error","D. The VALIDATION_MODE option will validate data to be loaded by the COPY statement without completing the load and will return possible errors Most Voted","","","B,D"
"What privileges are required to create a task?","A. The GLOBAL privilege CREATE TASK is required to create a new task.","B. Tasks are created at the Application level and can only be created by the Account Admin role.","C. Many Snowflake DDLs are metadata operations only, and CREATE TASK DDL can be executed without virtual warehouse requirement or task specific grants.","D. The role must have access to the target schema and the CREATE TASK privilege on the schema itself. Most Voted","","","D"
"What are the three things customer want most from their enterprise data warehouse solution? (Choose three.)","A. On-premise availability","B. Simplicity Most Voted","C. Open source based","D. Concurrency Most Voted","E. Performance Most Voted","","B,D,E"
"True or False: Some queries can be answered through the metadata cache and do not require an active Virtual Warehouse.","A. True Most Voted","B. False","","","","","A"
"When scaling out by adding clusters to a multi-cluster warehouse, you are primarily scaling for improved:","A. Concurrency","B. Performance","","","","","A"
"What is the minimum Snowflake edition that provides data sharing?","A. Standard","B. Premier","C. Enterprise","D. Business Critical Edition","","","A"
"True or False: Each worksheet in the Snowflake Web Interface (UI) can be associated with different roles, databases, schemas, and Virtual Warehouses.","A. True Most Voted","B. False","","","","","A"
"True or False: You can query the files in an External Stage directly without having to load the data into a table.","A. True Most Voted","B. False","","","","","A"
"The FLATTEN function is used to query which type of data in Snowflake?","A. Structured data","B. Semi-structured data Most Voted","C. Both of the above","D. None of the above","","","C"
"True or False: An active warehouse is required to run a COPY INTO statement.","A. True Most Voted","B. False","","","","","A"
"True or False: AWS Private Link provides a secure connection from the Customer's on-premise data center to the Snowflake.","A. True","B. False Most Voted","","","","","B"
"True or False: Snowflake's Global Services Layer gathers and maintains statistics on all columns in all micro-partitions.","A. True Most Voted","B. False","","","","","B"
"True or False: It is best practice to define a clustering key on every table.","A. True","B. False","","","","","B"
"Which of the following statements is true of Snowflake?","A. It was built specifically for the cloud","B. It was built as an on-premises solution and then ported to the cloud","C. It was designed as a hybrid database to allow customers to store data either on premises or in the cloud","D. It was built for Hadoop architecture","E. It's based on an Oracle Architecture","","A"
"What is the minimum Snowflake edition that provides multi-cluster warehouses and up to 90 days of Time Travel?","A. Standard","B. Premier","C. Enterprise","D. Business Critical Edition","","","C"
"How many shares can be consumed by a single Data Consumer?","A. 1","B. 10","C. 100, but can be increased by contacting support","D. Unlimited","","","D"
"What is the lowest Snowflake edition that offers Time Travel up to 90 days?","A. Standard Edition","B. Premier Edition","C. Enterprise Edition","D. Business Critical Edition","","","C"
"Which of the following statements are true about Schemas in Snowflake? (Choose two.)","A. A Schema may contain one or more Databases","B. A Database may contain one or more Schemas Most Voted","C. A Schema is a logical grouping of Database Objects Most Voted","D. Each Schema is contained within a Warehouse","","","B,C"
"True or False: You can resize a Virtual Warehouse while queries are running.","A. True Most Voted","B. False","","","","","A"
